timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 14:37:42,1.19,MBytes,250,3.577,0/892,0
2024-04-09 14:37:42,1.19,MBytes,250,3.711,0/892,0
2024-04-09 14:37:42,1.19,MBytes,250,5.849,0/892,0
2024-04-09 14:37:42,1.19,MBytes,249,5.039,1/892,0.11
2024-04-09 14:37:42,1.19,MBytes,250,5.831,0/892,0
2024-04-09 14:37:42,1.19,MBytes,250,5.869,0/892,0
2024-04-09 14:37:42,1.19,MBytes,249,4.538,1/892,0.11
2024-04-09 14:37:42,MBytes,2.00,Mbits/sec,ms,(0.028%),receiver
2024-04-09 14:42:43,1.19,MBytes,250,3.800,0/894,0
2024-04-09 14:42:43,1.19,MBytes,250,4.619,0/893,0
2024-04-09 14:42:43,1.19,MBytes,250,4.878,1/893,0.11
2024-04-09 14:42:43,1.19,MBytes,250,6.418,0/893,0
2024-04-09 14:42:43,1.19,MBytes,250,4.905,1/893,0.11
2024-04-09 14:42:43,1.19,MBytes,250,4.246,1/894,0.11
2024-04-09 14:42:43,1.19,MBytes,250,7.912,1/893,0.11
2024-04-09 14:42:43,1.19,MBytes,249,7.753,2/893,0.22
2024-04-09 14:42:43,MBytes,2.00,Mbits/sec,ms,(0.084%),receiver
2024-04-09 14:47:42,1.19,MBytes,250,6.796,1/893,0.11
2024-04-09 14:47:42,1.19,MBytes,250,7.058,1/893,0.11
2024-04-09 14:47:42,1.19,MBytes,250,4.261,1/893,0.11
2024-04-09 14:47:42,1.19,MBytes,250,5.664,0/893,0
2024-04-09 14:47:42,1.19,MBytes,250,5.765,0/893,0
2024-04-09 14:47:42,1.19,MBytes,250,5.836,0/893,0
2024-04-09 14:47:42,1.19,MBytes,250,5.472,0/893,0
2024-04-09 14:47:42,1.19,MBytes,250,4.767,0/893,0
2024-04-09 14:47:42,MBytes,2.00,Mbits/sec,ms,(0.042%),receiver
2024-04-09 14:52:43,1.19,MBytes,250,9.035,0/894,0
2024-04-09 14:52:43,1.19,MBytes,250,9.444,0/894,0
2024-04-09 14:52:43,1.19,MBytes,249,13.051,4/894,0.45
2024-04-09 14:52:43,1.19,MBytes,250,9.644,0/894,0
2024-04-09 14:52:43,1.19,MBytes,250,11.268,1/894,0.11
