timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:37:42,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:42:43,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:47:42,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,1.20,MBytes,250,0.000,0/896,0
2024-04-09 14:52:43,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,1.19,MBytes,250,0.000,0/895,0
2024-04-09 14:57:42,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 15:02:42,1.17,GBytes,250,0.000,0/895673,0
2024-04-09 15:07:42,1.17,GBytes,250,0.000,0/895368,0
2024-04-09 15:12:42,1.17,GBytes,250,0.000,0/895362,0
2024-04-09 15:17:41,1.17,GBytes,250,0.000,0/895631,0
2024-04-09 15:22:42,1.17,GBytes,250,0.000,0/895705,0
2024-04-09 15:27:42,1.17,GBytes,250,0.000,0/895992,0
2024-04-09 15:32:42,1.17,GBytes,250,0.000,0/895721,0
2024-04-09 15:37:42,1.17,GBytes,250,0.000,0/895254,0
2024-04-09 15:42:42,1.17,GBytes,250,0.000,0/895810,0
2024-04-09 15:47:42,1.17,GBytes,250,0.000,0/895501,0
2024-04-09 15:52:42,1.17,GBytes,250,0.000,0/895296,0
2024-04-09 16:27:42,1.17,GBytes,250,0.000,0/895562,0
2024-04-09 16:32:42,1.17,GBytes,250,0.000,0/895635,0
2024-04-09 16:37:42,1.17,GBytes,250,0.000,0/895569,0
2024-04-09 16:42:42,1.17,GBytes,250,0.000,0/895478,0
2024-04-09 16:47:42,1.17,GBytes,250,0.000,0/895567,0
2024-04-09 16:52:42,1.17,GBytes,250,0.000,0/895590,0
2024-04-09 16:57:42,1.17,GBytes,250,0.000,0/895855,0
2024-04-09 17:02:42,1.17,GBytes,250,0.000,0/895725,0
2024-04-09 17:07:41,1.17,GBytes,250,0.000,0/895232,0
2024-04-09 17:12:42,1.17,GBytes,250,0.000,0/896281,0
2024-04-09 17:17:42,1.17,GBytes,250,0.000,0/895867,0
2024-04-09 17:22:42,1.17,GBytes,250,0.000,0/897305,0
2024-04-09 17:27:42,1.17,GBytes,250,0.000,0/895354,0
2024-04-09 17:32:42,1.17,GBytes,250,0.000,0/895747,0
2024-04-09 17:37:42,1.17,GBytes,250,0.000,0/895654,0
2024-04-09 17:42:42,1.17,GBytes,250,0.000,0/895701,0
2024-04-09 17:47:42,1.17,GBytes,250,0.000,0/896126,0
2024-04-09 17:52:42,1.17,GBytes,250,0.000,0/895542,0
2024-04-09 17:57:43,1.17,GBytes,250,0.000,0/895473,0
2024-04-09 18:02:42,1.17,GBytes,250,0.000,0/896191,0
2024-04-09 18:07:42,1.17,GBytes,250,0.000,0/896055,0
2024-04-09 18:12:41,1.17,GBytes,250,0.000,0/895975,0
2024-04-09 18:17:42,1.17,GBytes,250,0.000,0/895747,0
2024-04-09 18:22:42,1.17,GBytes,250,0.000,0/895564,0
2024-04-09 18:27:42,1.17,GBytes,250,0.000,0/895300,0
2024-04-09 18:32:42,1.17,GBytes,250,0.000,0/895377,0
2024-04-09 18:37:42,1.17,GBytes,250,0.000,0/895681,0
2024-04-09 18:42:42,1.17,GBytes,250,0.000,0/895564,0
2024-04-09 18:47:42,1.17,GBytes,250,0.000,0/895873,0
2024-04-09 18:52:42,1.17,GBytes,250,0.000,0/895475,0
2024-04-09 18:57:42,1.17,GBytes,250,0.000,0/895255,0
2024-04-09 19:02:42,1.17,GBytes,250,0.000,0/895679,0
2024-04-09 19:07:42,1.17,GBytes,250,0.000,0/895523,0
2024-04-09 19:12:42,1.17,GBytes,250,0.000,0/895676,0
2024-04-09 19:17:42,1.17,GBytes,250,0.000,0/895425,0
2024-04-09 19:22:41,1.17,GBytes,250,0.000,0/895545,0
2024-04-09 19:27:42,1.17,GBytes,250,0.000,0/895434,0
2024-04-09 19:32:42,1.17,GBytes,250,0.000,0/895564,0
2024-04-09 19:37:42,1.17,GBytes,250,0.000,0/895655,0
