timestamp,transfer,bitrate
2024-04-09 14:40:43,574,120
2024-04-09 14:45:43,255,53.4
2024-04-09 14:50:43,704,148
2024-04-09 14:55:43,515,108
2024-04-09 15:05:42,831,174
2024-04-09 15:10:43,419,87.9
2024-04-09 15:15:43,958,201
2024-04-09 15:20:42,606,127
2024-04-09 15:25:43,614,129
2024-04-09 15:30:43,460,96.5
2024-04-09 15:35:42,503,105
2024-04-09 15:40:43,752,158
2024-04-09 15:45:43,655,137
2024-04-09 15:50:43,764,160
2024-04-09 16:25:43,505,106
2024-04-09 16:30:42,371,77.7
2024-04-09 16:35:43,380,79.7
2024-04-09 16:40:43,513,108
2024-04-09 16:45:42,739,155
2024-04-09 16:50:42,720,151
2024-04-09 16:55:43,162,33.9
2024-04-09 17:00:43,282,59.2
2024-04-09 17:05:43,419,87.8
2024-04-09 17:10:43,343,71.9
2024-04-09 17:15:42,811,170
2024-04-09 17:20:43,524,110
2024-04-09 17:25:43,548,115
2024-04-09 17:30:43,582,122
2024-04-09 17:35:42,648,136
2024-04-09 17:40:42,722,151
2024-04-09 17:45:42,610,128
2024-04-09 17:50:43,622,130
2024-04-09 17:55:43,649,136
2024-04-09 18:00:42,471,98.9
2024-04-09 18:05:42,476,99.9
2024-04-09 18:10:43,555,116
2024-04-09 18:15:43,840,176
2024-04-09 18:20:42,699,147
2024-04-09 18:25:42,579,121
2024-04-09 18:30:43,456,95.6
2024-04-09 18:35:43,261,54.7
2024-04-09 18:40:43,578,121
2024-04-09 18:45:43,427,89.5
2024-04-09 18:50:43,138,29.0
2024-04-09 18:55:43,332,69.5
2024-04-09 19:00:43,589,123
2024-04-09 19:05:43,496,104
2024-04-09 19:10:43,628,132
2024-04-09 19:15:42,461,96.6
2024-04-09 19:20:43,607,127
2024-04-09 19:25:43,400,83.9
2024-04-09 19:30:42,340,71.2
2024-04-09 19:35:42,557,117
2024-04-09 19:40:43,696,146
2024-04-09 19:45:43,221,46.4
2024-04-09 19:50:43,382,80.2
2024-04-09 19:55:43,204,42.8
2024-04-09 20:00:43,208,43.5
2024-04-09 20:05:43,368,77.2
