timestamp,transfer,bitrate
2024-04-09 14:40:43,593,124
2024-04-09 14:45:43,268,56.1
2024-04-09 14:50:43,724,152
2024-04-09 14:55:43,536,112
2024-04-09 15:05:42,852,178
2024-04-09 15:10:43,437,91.3
2024-04-09 15:15:43,979,205
2024-04-09 15:20:42,625,131
2024-04-09 15:25:43,637,133
2024-04-09 15:30:43,477,99.9
2024-04-09 15:35:42,522,109
2024-04-09 15:40:43,774,162
2024-04-09 15:45:43,676,141
2024-04-09 15:50:43,783,164
2024-04-09 16:25:43,525,110
2024-04-09 16:30:42,380,79.5
2024-04-09 16:35:43,393,82.2
2024-04-09 16:40:43,525,110
2024-04-09 16:45:42,759,159
2024-04-09 16:50:42,741,155
2024-04-09 16:55:43,167,34.9
2024-04-09 17:00:43,298,62.4
2024-04-09 17:05:43,436,91.1
2024-04-09 17:10:43,358,75.0
2024-04-09 17:15:42,834,174
2024-04-09 17:20:43,543,114
2024-04-09 17:25:43,569,119
2024-04-09 17:30:43,601,126
2024-04-09 17:35:42,667,140
2024-04-09 17:40:42,745,156
2024-04-09 17:45:42,631,132
2024-04-09 17:50:43,638,133
2024-04-09 17:55:43,669,140
2024-04-09 18:00:42,485,102
2024-04-09 18:05:42,493,103
2024-04-09 18:10:43,580,121
2024-04-09 18:15:43,862,180
2024-04-09 18:20:42,720,151
2024-04-09 18:25:42,597,125
2024-04-09 18:30:43,472,98.8
2024-04-09 18:35:43,269,56.2
2024-04-09 18:40:43,596,125
2024-04-09 18:45:43,445,93.2
2024-04-09 18:50:43,153,32.0
2024-04-09 18:55:43,350,73.2
2024-04-09 19:00:43,612,128
2024-04-09 19:05:43,516,108
2024-04-09 19:10:43,645,135
2024-04-09 19:15:42,479,100
2024-04-09 19:20:43,630,132
2024-04-09 19:25:43,419,87.7
2024-04-09 19:30:42,353,74.0
2024-04-09 19:35:42,576,120
2024-04-09 19:40:43,722,151
2024-04-09 19:45:43,231,48.3
2024-04-09 19:50:43,399,83.6
2024-04-09 19:55:43,222,46.4
2024-04-09 20:00:43,217,45.5
2024-04-09 20:05:43,384,80.4
2024-04-09 20:10:42,622,130
2024-04-09 20:15:43,364,76.1
2024-04-09 20:20:42,523,109
2024-04-09 20:25:43,449,93.9
2024-04-09 20:30:42,288,60.4
2024-04-09 20:35:44,553,116
2024-04-09 20:40:43,381,79.8
2024-04-09 20:45:43,491,103
2024-04-09 20:50:42,469,98.1
2024-04-09 20:55:43,349,73.1
2024-04-09 21:00:43,435,91.0
2024-04-09 21:05:44,655,137
2024-04-09 21:10:43,519,109
2024-04-09 21:15:42,503,105
2024-04-09 21:20:42,547,114
2024-04-09 21:25:43,499,104
2024-04-09 21:30:43,330,69.1
2024-04-09 21:35:43,462,96.7
2024-04-09 21:40:43,590,123
2024-04-09 21:45:42,613,128
2024-04-09 21:50:43,407,85.2
2024-04-09 21:55:42,456,95.4
2024-04-09 22:00:43,666,139
2024-04-09 22:05:43,508,106
2024-04-09 22:10:43,886,185
2024-04-09 22:15:43,542,113
2024-04-09 22:20:43,398,83.4
2024-04-09 22:25:44,491,103
2024-04-09 22:30:43,530,111
2024-04-09 22:35:43,605,127
2024-04-09 22:40:42,361,75.6
2024-04-09 22:45:43,658,138
2024-04-09 22:50:43,350,73.2
2024-04-09 22:55:42,447,93.5
2024-04-09 23:00:42,548,115
2024-04-09 23:05:43,683,143
2024-04-09 23:10:43,802,168
2024-04-09 23:15:42,617,129
2024-04-09 23:20:43,400,83.7
