timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 14:43:42,1.19,MBytes,250,8.262,0/893,0
2024-04-09 14:43:42,1.19,MBytes,249,8.691,1/893,0.11
2024-04-09 14:43:42,1.19,MBytes,250,7.783,0/893,0
2024-04-09 14:43:42,1.19,MBytes,249,7.733,1/893,0.11
2024-04-09 14:43:42,1.19,MBytes,249,7.369,2/893,0.22
2024-04-09 14:43:42,1.19,MBytes,250,7.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,8.028,0/893,0
2024-04-09 14:43:42,MBytes,2.00,Mbits/sec,ms,(0.056%),receiver
2024-04-09 14:53:42,1.19,MBytes,250,13.564,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,14.208,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,14.214,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,12.735,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,12.682,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,13.738,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,13.817,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,13.014,0/893,0
2024-04-09 14:53:42,MBytes,2.00,Mbits/sec,ms,(0%),receiver
2024-04-09 15:03:42,90.9,MBytes,19.0,0.132,824426/892515,92
2024-04-09 15:13:42,98.7,MBytes,20.6,0.106,815869/889811,92
2024-04-09 15:23:42,106,MBytes,22.2,0.114,812968/892370,91
2024-04-09 15:33:42,94.3,MBytes,19.7,0.799,18390/89023,21
2024-04-09 15:43:42,106,MBytes,22.1,1.264,9320/88647,11
2024-04-09 15:49:42,97.8,MBytes,20.4,0.830,15605/88863,18
2024-04-09 16:33:42,67.0,MBytes,14.0,1.573,38817/89021,44
2024-04-09 16:43:41,101,MBytes,21.1,0.680,13541/89051,15
2024-04-09 16:53:42,97.4,MBytes,20.4,1.408,15974/88955,18
2024-04-09 17:03:42,89.7,MBytes,18.7,0.757,21818/89036,25
2024-04-09 17:09:42,104,MBytes,21.8,0.663,10640/88868,12
2024-04-09 17:13:43,92.4,MBytes,19.3,0.568,19658/88892,22
2024-04-09 17:23:42,112,MBytes,23.4,0.531,5347/89242,6
2024-04-09 17:29:42,63.5,MBytes,13.3,0.716,41158/88687,46
2024-04-09 17:33:42,83.5,MBytes,17.5,0.627,26728/89276,30
2024-04-09 17:43:42,103,MBytes,21.5,0.606,12046/89188,14
2024-04-09 17:49:42,87.8,MBytes,18.4,0.559,22799/88589,26
2024-04-09 17:53:42,117,MBytes,24.5,0.828,1006/88871,1.1
2024-04-09 18:03:42,119,MBytes,24.9,0.581,210/89284,0.24
2024-04-09 18:13:42,99.2,MBytes,20.7,0.565,14649/88957,16
2024-04-09 18:23:42,101,MBytes,21.0,0.682,13441/88792,15
2024-04-09 18:33:42,118,MBytes,24.6,5.068,926/89036,1
2024-04-09 18:39:42,103,MBytes,21.6,0.693,11727/89157,13
2024-04-09 18:43:41,102,MBytes,21.3,0.683,12428/88777,14
2024-04-09 18:53:42,77.1,MBytes,16.1,0.642,31253/88984,35
2024-04-09 18:59:42,77.8,MBytes,16.3,0.940,30413/88721,34
2024-04-09 19:03:42,111,MBytes,23.2,0.655,5960/89153,6.7
2024-04-09 19:09:42,102,MBytes,21.3,0.466,12417/88712,14
2024-04-09 19:13:42,99.0,MBytes,20.7,0.698,14750/88887,17
2024-04-09 19:23:42,107,MBytes,22.4,0.561,9108/89239,10
2024-04-09 19:33:42,87.8,MBytes,18.4,0.653,22836/88595,26
2024-04-09 19:43:42,98.1,MBytes,20.5,0.417,15277/88789,17
2024-04-09 19:53:41,69.2,MBytes,14.5,0.847,37165/88996,42
2024-04-09 20:03:41,52.8,MBytes,11.0,0.896,49360/88906,56
2024-04-09 20:13:42,72.2,MBytes,15.1,0.527,34844/88925,39
2024-04-09 20:23:42,95.0,MBytes,19.9,0.431,17572/88704,20
2024-04-09 20:33:42,116,MBytes,24.3,0.887,1707/88872,1.9
2024-04-09 20:43:42,116,MBytes,24.2,0.793,2697/89269,3
2024-04-09 20:53:42,115,MBytes,24.1,0.766,2368/88841,2.7
2024-04-09 21:03:42,117,MBytes,24.4,1.045,1258/88819,1.4
2024-04-09 21:09:42,97.8,MBytes,20.5,5.059,15442/88712,17
2024-04-09 21:13:42,111,MBytes,23.2,0.711,5854/89049,6.6
2024-04-09 21:19:42,79.2,MBytes,16.6,0.911,29703/89012,33
2024-04-09 21:23:42,88.6,MBytes,18.5,0.909,22597/88980,25
2024-04-09 21:29:42,116,MBytes,24.3,0.575,2060/88993,2.3
2024-04-09 21:33:42,92.7,MBytes,19.4,0.648,19537/88965,22
2024-04-09 21:39:42,92.9,MBytes,19.4,0.680,19594/89190,22
2024-04-09 21:43:42,114,MBytes,23.7,0.777,3951/89009,4.4
2024-04-09 21:49:42,85.6,MBytes,17.9,0.456,24641/88790,28
2024-04-09 21:53:42,110,MBytes,22.9,0.611,7064/89168,7.9
2024-04-09 22:03:42,110,MBytes,23.0,0.799,6757/89252,7.6
2024-04-09 22:09:42,99.9,MBytes,20.9,0.616,13818/88620,16
2024-04-09 22:13:42,84.5,MBytes,17.7,5.453,25531/88810,29
2024-04-09 22:19:42,109,MBytes,22.9,1.129,6960/88912,7.8
2024-04-09 22:23:42,101,MBytes,21.1,0.572,13236/88787,15
2024-04-09 22:29:42,118,MBytes,24.8,5.479,365/89054,0.41
2024-04-09 22:33:42,67.1,MBytes,14.0,0.567,38336/88598,43
2024-04-09 22:39:42,102,MBytes,21.3,0.786,12590/88996,14
2024-04-09 22:43:42,112,MBytes,23.4,4.501,5229/89112,5.9
2024-04-09 22:49:42,116,MBytes,24.1,0.567,1586/88798,1.8
2024-04-09 22:53:42,104,MBytes,21.7,0.602,11633/89285,13
2024-04-09 22:59:42,108,MBytes,22.5,0.685,8753/89275,9.8
2024-04-09 23:03:42,101,MBytes,21.1,0.653,13494/88995,15
2024-04-09 23:09:42,115,MBytes,24.1,0.573,3007/89280,3.4
2024-04-09 23:13:42,114,MBytes,23.9,1.288,3719/89247,4.2
2024-04-09 23:19:42,116,MBytes,24.3,0.738,2370/89252,2.7
2024-04-09 23:23:42,108,MBytes,22.6,1.096,7997/88976,9
2024-04-09 23:29:42,100,MBytes,21.0,0.653,13380/88608,15
2024-04-09 23:33:42,88.6,MBytes,18.5,1.109,22306/88651,25
2024-04-09 23:39:42,118,MBytes,24.7,0.570,762/89271,0.85
2024-04-09 23:43:41,93.0,MBytes,19.4,0.825,19181/88867,22
2024-04-09 23:53:42,116,MBytes,24.2,0.602,2683/89242,3
2024-04-09 23:59:42,76.1,MBytes,15.9,0.517,32102/89063,36
2024-04-10 00:03:42,96.1,MBytes,20.1,0.681,17247/89259,19
2024-04-10 00:13:42,104,MBytes,21.7,1.066,11252/88915,13
2024-04-10 00:19:42,115,MBytes,24.1,0.708,2671/88902,3
2024-04-10 00:23:42,118,MBytes,24.7,0.752,553/89005,0.62
2024-04-10 00:29:42,101,MBytes,21.2,0.687,13138/88852,15
2024-04-10 00:33:42,113,MBytes,23.6,0.578,4861/89279,5.4
