timestamp,transfer,transfer_speed,bitrate,jitter,lost_total_datagrams,datagram_loss_percent
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:43:42,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,1.19,MBytes,250,0.000,0/893,0
2024-04-09 14:53:42,MBytes,2.00,Mbits/sec,ms,(0%),sender
2024-04-09 15:03:42,1.16,GBytes,250,0.000,0/892840,0
2024-04-09 15:13:42,1.16,GBytes,250,0.000,0/892844,0
2024-04-09 15:23:42,1.16,GBytes,250,0.000,0/892841,0
2024-04-09 15:33:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 15:43:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 15:49:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 16:33:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 16:43:41,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 16:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 17:03:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 17:09:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 17:13:43,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 17:23:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 17:29:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 17:33:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 17:43:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 17:49:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 17:53:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:03:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:13:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:23:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 18:33:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:39:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:43:41,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 18:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 18:59:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 19:03:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:09:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:13:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:23:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:33:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:43:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 19:53:41,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 20:03:41,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 20:13:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 20:23:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 20:33:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 20:43:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 20:53:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:03:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:09:42,119,MBytes,25.0,0.000,0/89284,0
2024-04-09 21:13:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:19:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:23:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:29:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:33:42,119,MBytes,25.0,0.000,0/89285,0
2024-04-09 21:39:42,119,MBytes,25.0,0.000,0/89285,0
