timestamp,transfer,bitrate
2024-04-09 14:41:42,69.2,14.5
2024-04-09 14:46:43,82.9,17.4
2024-04-09 14:51:42,87.5,18.4
2024-04-09 14:56:43,79.2,16.6
2024-04-09 15:01:43,64.2,13.5
2024-04-09 15:06:43,109,22.8
2024-04-09 15:11:42,112,23.5
2024-04-09 15:16:43,82.0,17.2
2024-04-09 15:21:43,88.1,18.5
2024-04-09 15:26:42,105,22.0
2024-04-09 15:31:43,67.8,14.2
2024-04-09 15:36:43,101,21.2
2024-04-09 15:41:42,73.2,15.4
2024-04-09 15:46:42,60.2,12.6
2024-04-09 15:51:42,104,21.8
2024-04-09 16:26:43,78.8,16.5
2024-04-09 16:31:43,70.9,14.9
2024-04-09 16:36:42,74.7,15.7
2024-04-09 16:41:43,97.0,20.4
2024-04-09 16:46:43,84.8,17.8
2024-04-09 16:51:43,124,26.0
2024-04-09 16:56:43,73.2,15.4
2024-04-09 17:01:42,63.5,13.3
2024-04-09 17:06:43,89.5,18.8
2024-04-09 17:11:42,66.2,13.9
2024-04-09 17:16:43,125,26.3
2024-04-09 17:21:43,84.4,17.7
2024-04-09 17:26:42,101,21.2
2024-04-09 17:31:43,122,25.7
2024-04-09 17:36:43,69.8,14.6
2024-04-09 17:41:43,83.6,17.5
2024-04-09 17:46:43,83.3,17.5
2024-04-09 17:51:42,105,21.9
2024-04-09 17:56:42,58.5,12.3
2024-04-09 18:01:43,122,25.7
2024-04-09 18:06:43,99.1,20.8
2024-04-09 18:11:43,86.5,18.2
2024-04-09 18:16:43,106,22.3
2024-04-09 18:21:43,69.0,14.5
2024-04-09 18:26:43,98.7,20.7
2024-04-09 18:31:42,93.3,19.6
2024-04-09 18:36:42,110,23.0
2024-04-09 18:41:43,103,21.6
2024-04-09 18:46:43,91.4,19.2
2024-04-09 18:51:43,67.1,14.1
2024-04-09 18:56:42,94.7,19.9
2024-04-09 19:01:43,80.7,16.9
2024-04-09 19:06:42,80.8,17.0
2024-04-09 19:11:43,107,22.4
2024-04-09 19:16:43,76.1,16.0
2024-04-09 19:21:43,118,24.7
2024-04-09 19:26:43,90.2,18.9
2024-04-09 19:31:43,97.8,20.5
2024-04-09 19:36:43,140,29.3
2024-04-09 19:41:42,60.1,12.6
2024-04-09 19:46:43,93.7,19.7
2024-04-09 19:51:43,72.3,15.2
2024-04-09 19:56:43,60.8,12.8
2024-04-09 20:01:42,75.9,15.9
2024-04-09 20:06:43,106,22.3
2024-04-09 20:11:43,93.1,19.5
2024-04-09 20:16:42,58.4,12.3
2024-04-09 20:21:43,101,21.1
2024-04-09 20:26:43,67.7,14.2
2024-04-09 20:31:43,94.8,19.9
2024-04-09 20:36:43,111,23.4
2024-04-09 20:41:43,89.0,18.7
2024-04-09 20:46:43,104,21.8
2024-04-09 20:51:43,68.4,14.3
2024-04-09 20:56:43,100,21.0
2024-04-09 21:01:42,103,21.7
2024-04-09 21:06:42,102,21.4
2024-04-09 21:11:43,58.3,12.2
2024-04-09 21:16:43,72.8,15.3
2024-04-09 21:21:43,111,23.3
2024-04-09 21:26:42,72.5,15.2
2024-04-09 21:31:43,115,24.1
2024-04-09 21:36:43,86.2,18.1
2024-04-09 21:41:43,88.6,18.6
2024-04-09 21:46:43,95.5,20.0
2024-04-09 21:51:43,50.5,10.6
2024-04-09 21:56:43,96.2,20.2
2024-04-09 22:01:42,78.9,16.5
2024-04-09 22:06:42,79.8,16.7
2024-04-09 22:11:43,109,22.9
2024-04-09 22:16:42,68.5,14.4
2024-04-09 22:21:43,93.8,19.7
2024-04-09 22:26:42,99.2,20.8
2024-04-09 22:31:42,98.6,20.7
2024-04-09 22:36:43,101,21.2
2024-04-09 22:41:43,68.5,14.4
2024-04-09 22:46:42,88.3,18.5
2024-04-09 22:51:43,69.5,14.6
2024-04-09 22:56:43,89.9,18.9
2024-04-09 23:01:43,86.7,18.2
2024-04-09 23:06:42,85.5,17.9
2024-04-09 23:11:43,87.7,18.4
2024-04-09 23:16:43,103,21.7
2024-04-09 23:21:42,91.5,19.2
2024-04-09 23:26:42,78.9,16.5
2024-04-09 23:31:42,66.7,14.0
2024-04-09 23:36:43,118,24.8
2024-04-09 23:41:43,91.8,19.2
2024-04-09 23:46:43,77.3,16.2
2024-04-09 23:51:43,100,21.0
2024-04-09 23:56:42,92.8,19.5
2024-04-10 00:01:43,93.3,19.6
2024-04-10 00:06:43,117,24.5
2024-04-10 00:11:43,87.8,18.4
2024-04-10 00:16:43,69.2,14.5
2024-04-10 00:21:42,100,21.0
2024-04-10 00:26:42,73.7,15.5
2024-04-10 00:31:43,84.0,17.6
2024-04-10 00:36:43,102,21.4
2024-04-10 00:41:43,111,23.3
2024-04-10 00:46:43,95.0,19.9
2024-04-10 00:51:43,110,23.0
2024-04-10 00:56:43,127,26.6
2024-04-10 01:01:43,96.3,20.2
2024-04-10 01:06:42,60.8,12.8
2024-04-10 01:11:43,89.3,18.7
2024-04-10 01:16:43,118,24.7
2024-04-10 01:21:42,81.7,17.1
2024-04-10 01:26:43,110,23.0
2024-04-10 01:31:42,91.5,19.2
2024-04-10 01:36:42,75.2,15.8
2024-04-10 01:41:43,90.5,19.0
2024-04-10 01:46:43,70.8,14.8
2024-04-10 01:51:42,97.7,20.5
2024-04-10 01:56:42,79.9,16.7
2024-04-10 02:01:43,77.6,16.3
2024-04-10 02:06:43,103,21.5
2024-04-10 02:11:43,71.9,15.1
2024-04-10 02:16:42,75.6,15.8
2024-04-10 02:21:42,90.1,18.9
2024-04-10 02:26:42,52.8,11.1
2024-04-10 02:31:42,100,21.1
2024-04-10 02:36:43,68.0,14.3
2024-04-10 02:41:42,68.2,14.3
2024-04-10 02:46:42,107,22.5
2024-04-10 02:51:42,107,22.5
2024-04-10 02:56:42,104,21.8
2024-04-10 03:01:42,83.8,17.6
2024-04-10 03:06:42,101,21.1
2024-04-10 03:11:42,87.5,18.4
2024-04-10 03:16:42,98.0,20.6
2024-04-10 03:21:43,70.9,14.9
2024-04-10 03:26:43,89.7,18.8
2024-04-10 03:31:42,98.9,20.7
2024-04-10 03:36:52,82.2,17.2
2024-04-10 03:41:43,82.9,17.4
2024-04-10 03:46:43,88.6,18.6
2024-04-10 03:51:43,91.3,19.1
2024-04-10 03:56:43,124,26.1
2024-04-10 04:01:43,101,21.3
2024-04-10 04:06:43,98.8,20.7
2024-04-10 04:11:42,91.8,19.2
2024-04-10 04:17:58,48.2,10.1
2024-04-10 04:21:42,78.6,16.5
2024-04-10 04:26:42,120,25.2
2024-04-10 04:31:42,108,22.7
2024-04-10 04:36:42,79.6,16.7
2024-04-10 04:41:42,111,23.3
2024-04-10 04:46:42,85.7,18.0
2024-04-10 04:51:42,78.8,16.5
2024-04-10 04:56:42,107,22.5
2024-04-10 05:01:42,105,22.0
2024-04-10 05:06:42,93.6,19.6
2024-04-10 05:11:42,88.8,18.6
2024-04-10 05:16:42,129,27.0
2024-04-10 05:21:42,139,29.1
2024-04-10 05:26:42,91.0,19.1
2024-04-10 05:31:42,102,21.3
2024-04-10 05:36:42,67.9,14.2
2024-04-10 05:41:42,124,25.9
2024-04-10 05:46:42,105,22.0
2024-04-10 05:51:42,106,22.3
2024-04-10 05:56:42,102,21.4
2024-04-10 06:01:43,122,25.6
2024-04-10 06:06:43,87.4,18.3
2024-04-10 06:11:43,95.0,19.9
2024-04-10 06:16:43,91.3,19.1
2024-04-10 06:31:43,117,24.5
2024-04-10 06:36:43,121,25.4
2024-04-10 06:41:43,104,21.8
2024-04-10 06:46:43,113,23.6
2024-04-10 06:51:43,86.0,18.0
2024-04-10 06:56:43,103,21.5
2024-04-10 07:01:43,82.0,17.2
2024-04-10 07:06:43,86.1,18.1
2024-04-10 07:11:43,123,25.7
2024-04-10 07:16:43,83.6,17.5
2024-04-10 07:21:43,113,23.6
2024-04-10 07:26:43,111,23.3
2024-04-10 07:31:43,110,23.0
2024-04-10 07:36:43,73.6,15.4
2024-04-10 07:41:42,107,22.5
2024-04-10 07:46:42,80.0,16.8
2024-04-10 07:51:42,87.2,18.3
2024-04-10 07:56:42,105,21.9
2024-04-10 08:01:43,113,23.7
2024-04-10 08:06:43,52.0,10.9
2024-04-10 08:11:43,85.9,18.0
2024-04-10 08:16:43,78.1,16.4
2024-04-10 08:21:43,123,25.9
2024-04-10 08:26:43,71.0,14.9
2024-04-10 08:31:43,82.3,17.3
2024-04-10 08:36:42,77.6,16.3
2024-04-10 08:41:43,43.9,9.20
2024-04-10 08:46:42,88.7,18.6
2024-04-10 08:51:42,76.0,15.9
2024-04-10 08:56:42,79.1,16.6
2024-04-10 09:01:43,98.0,20.6
2024-04-10 09:06:43,81.4,17.1
2024-04-10 09:11:43,82.6,17.3
2024-04-10 09:16:43,128,26.9
2024-04-10 09:21:43,99.7,20.9
2024-04-10 09:26:43,101,21.1
2024-04-10 09:31:43,122,25.7
2024-04-10 09:36:43,93.1,19.5
2024-04-10 09:41:43,88.0,18.5
2024-04-10 09:46:43,142,29.7
2024-04-10 09:51:43,86.2,18.1
2024-04-10 09:56:43,86.4,18.1
2024-04-10 10:01:42,90.4,19.0
2024-04-10 10:06:42,74.7,15.7
2024-04-10 10:11:42,67.2,14.1
2024-04-10 10:16:42,64.9,13.6
2024-04-10 10:21:42,80.7,16.9
2024-04-10 10:26:42,75.0,15.7
2024-04-10 10:31:42,68.6,14.4
2024-04-10 10:36:43,87.5,18.3
2024-04-10 10:41:43,66.2,13.9
2024-04-10 10:46:43,80.7,16.9
2024-04-10 10:51:43,56.8,11.9
2024-04-10 10:56:43,89.8,18.8
2024-04-10 11:01:43,87.8,18.4
2024-04-10 11:06:43,59.3,12.4
2024-04-10 11:11:42,82.7,17.3
2024-04-10 11:16:43,79.0,16.6
2024-04-10 11:21:42,73.0,15.3
2024-04-10 11:31:42,71.8,15.1
2024-04-10 11:36:42,106,22.3
2024-04-10 11:41:42,75.7,15.9
2024-04-10 11:46:43,86.7,18.2
2024-04-10 11:51:43,75.0,15.7
2024-04-10 11:56:42,112,23.5
2024-04-10 12:01:43,94.9,19.9
2024-04-10 12:06:42,101,21.1
2024-04-10 12:11:43,89.0,18.7
2024-04-10 12:16:43,85.1,17.8
2024-04-10 12:21:43,93.3,19.6
2024-04-10 12:26:43,99.1,20.8
2024-04-10 12:31:42,82.2,17.2
2024-04-10 12:36:42,66.7,14.0
2024-04-10 12:41:42,90.8,19.0
2024-04-10 12:46:42,74.7,15.7
2024-04-10 12:51:42,87.1,18.3
2024-04-10 12:56:43,106,22.3
2024-04-10 13:01:42,45.2,9.48
2024-04-10 13:06:42,102,21.4
2024-04-10 13:11:42,63.6,13.3
2024-04-10 13:16:42,73.8,15.5
2024-04-10 13:21:42,114,23.8
2024-04-10 13:26:43,73.6,15.4
2024-04-10 13:31:43,82.7,17.3
2024-04-10 13:36:43,96.2,20.2
2024-04-10 13:41:43,78.4,16.5
2024-04-10 13:46:43,92.8,19.5
2024-04-10 13:51:43,83.6,17.5
2024-04-10 13:56:43,69.4,14.6
2024-04-10 14:01:43,97.1,20.4
2024-04-10 14:06:43,125,26.1
2024-04-10 14:11:42,99.2,20.8
2024-04-10 14:16:42,70.4,14.8
2024-04-10 14:21:43,85.1,17.8
2024-04-10 14:26:42,110,23.1
2024-04-10 14:31:42,95.5,20.0
2024-04-10 14:36:42,79.7,16.7
2024-04-10 14:41:42,80.4,16.9
2024-04-10 14:46:42,79.0,16.6
2024-04-10 14:51:42,93.9,19.7
2024-04-10 14:56:42,80.7,16.9
2024-04-10 15:01:43,101,21.2
2024-04-10 15:07:02,73.2,15.3
2024-04-10 15:11:43,109,22.9
2024-04-10 15:16:43,82.8,17.4
2024-04-10 15:21:42,95.5,20.0
2024-04-10 15:26:43,110,23.1
2024-04-10 15:31:42,81.0,17.0
2024-04-10 15:36:42,90.0,18.9
2024-04-10 15:41:42,74.7,15.7
2024-04-10 15:46:42,73.8,15.5
2024-04-10 15:51:42,68.5,14.4
2024-04-10 15:56:42,93.1,19.5
2024-04-10 16:01:42,89.7,18.8
2024-04-10 16:06:42,107,22.5
2024-04-10 16:11:44,132,27.6
2024-04-10 16:16:42,85.3,17.9
2024-04-10 16:21:43,92.3,19.4
2024-04-10 16:26:43,64.9,13.6
2024-04-10 16:31:42,83.3,17.5
2024-04-10 16:36:42,84.5,17.7
2024-04-10 16:41:42,66.5,13.9
2024-04-10 16:46:43,73.6,15.4
2024-04-10 16:51:42,83.0,17.4
2024-04-10 16:56:42,91.8,19.2
2024-04-10 17:01:43,104,21.9
2024-04-10 17:06:43,95.9,20.1
2024-04-10 17:11:43,89.8,18.8
2024-04-10 17:16:42,108,22.7
2024-04-10 17:21:42,97.5,20.5
2024-04-10 17:26:42,97.4,20.4
2024-04-10 17:31:43,66.6,14.0
2024-04-10 17:36:44,98.3,20.6
2024-04-10 17:41:43,68.6,14.4
2024-04-10 17:46:43,83.4,17.5
2024-04-10 17:51:43,96.6,20.3
2024-04-10 17:56:42,53.4,11.2
2024-04-10 18:01:43,62.5,13.1
2024-04-10 18:06:42,103,21.6
2024-04-10 18:11:42,88.3,18.5
2024-04-10 18:16:42,94.7,19.9
2024-04-10 18:21:42,80.4,16.9
2024-04-10 18:26:43,66.5,14.0
2024-04-10 18:31:42,76.2,16.0
2024-04-10 18:36:42,109,22.9
2024-04-10 18:41:43,91.8,19.2
2024-04-10 18:46:43,68.3,14.3
2024-04-10 18:51:42,109,22.9
2024-04-10 18:56:43,66.9,14.0
2024-04-10 19:01:43,84.3,17.7
2024-04-10 19:06:42,96.5,20.2
2024-04-10 19:11:43,95.3,20.0
2024-04-10 19:16:43,73.0,15.3
2024-04-10 19:21:42,79.7,16.7
2024-04-10 19:26:42,78.2,16.4
2024-04-10 19:31:42,126,26.5
2024-04-10 19:36:43,89.1,18.7
2024-04-10 19:41:43,70.6,14.8
2024-04-10 19:46:42,72.0,15.1
2024-04-10 19:51:43,64.5,13.5
2024-04-10 19:56:43,99.8,20.9
2024-04-10 20:01:43,96.9,20.3
2024-04-10 20:06:43,97.5,20.4
2024-04-10 20:11:43,109,22.9
2024-04-10 20:16:43,66.0,13.8
2024-04-10 20:21:43,89.2,18.7
2024-04-10 20:26:43,61.3,12.9
2024-04-10 20:31:43,76.2,16.0
2024-04-10 20:36:43,106,22.3
2024-04-10 20:41:43,96.7,20.3
2024-04-10 20:46:43,73.7,15.5
2024-04-10 20:51:42,91.8,19.2
2024-04-10 20:56:43,75.3,15.8
2024-04-10 21:06:42,80.4,16.9
2024-04-10 21:11:42,65.5,13.7
2024-04-10 21:16:43,53.3,11.2
2024-04-10 21:21:43,100,21.1
2024-04-10 21:26:43,90.6,19.0
2024-04-10 21:31:43,85.3,17.9
2024-04-10 21:36:42,91.9,19.3
2024-04-10 21:41:43,84.5,17.7
